destination,original
https://mail.google.com/mail/,gmail.com
http://www.90dpfb.com/,90dpfb.com
http://www.syamsulalam.net/,syamsulalam.net
http://postimage.org,postimage.org
https://www.instagram.com/,www.instagram.com
http://www.jne.co.id,www.jne.co.id
http://www.musingsofamuse.com/2010/03/bourjois-paris-healthy-mix-concealer-review-and-swatches.html,www.musingsofamuse.com/2010/03/bourjois-paris-healthy-mix-concealer-review-and-swatches.html
http://imgur.com,imgur.com
http://www.souvenirdunia.com,www.souvenirdunia.com
http://youtu.be,youtu.be
http://www.google.co.id,www.google.co.id
http://www.mas.no/,mas.no
http://goo.gl,goo.gl
http://www.facebook.com/juraganmodifikasi,www.facebook.com/juraganmodifikasi
http://id.yahoo.com/,yahoo.co.id
https://mail.live.com/default.aspx,hotmail.com
http://www.blanja.com/,blanja.com
http://drive.google.com,drive.google.com
https://www.outlook.com/owa/,outlook.com
http://www.bajuready.com,www.bajuready.com
http://www.facebook.com,www.facebook.com
http://www.reskrim.com,www.reskrim.com
https://global.blackberry.com/bbm/en_gb/detectpin.html?,www.pin.bbm.com
https://www.blibli.com/,blibli.com
https://www.bukalapak.com/,bukalapak.com
https://www.tokopedia.com/,tokopedia.com
http://no.pe,no.pe
http://www.waktunyakapalapi.com,www.waktunyakapalapi.com
https://www.yahoo.com/,yahoo.com
http://www.tokopedi.com/kamarunikshop,www.tokopedi.com/kamarunikshop
http://tokosaya.banyuwanger.com,tokosaya.banyuwanger.com
http://tiat.banyuwanger.com,tiat.banyuwanger.com
http://tiar.banyuwanger.com/,www.tiar.banyuwanger.com
http://elhanalearningkit.com,elhanalearningkit.com
http://primatama-high-skillindo.blogspot.co.id,primatama-high-skillindo.blogspot.co.id
http://www.hbs.hr/,hbs.hr
https://www.youtube.com/,www.youtube.com
http://cahunnes.com,cahunnes.com
https://www.bukalapak.com/uzop,bukalapak.com/uzop
http://www.uzopms.com,www.uzopms.com
http://case.ga,case.ga
http://www.yukibabyshop.com,www.yukibabyshop.com
http://ngoprekradio.com/,www.ngoprekradio.com
http://www.microsoft.com,www.microsoft.com
http://cektarif.com,cektarif.com
http://www.cekresi.com,www.cekresi.com
http://www.jne.com,www.jne.com
http://www.myctones.blogspot.com,www.myctones.blogspot.com
http://www.ozonebag.com,www.ozonebag.com
http://m.facebook.com,m.facebook.com
https://bitcointalk.org/,bitcointalk.org
http://eastshoretrade.blogspot.co.id,eastshoretrade.blogspot.co.id
http://tokoobatbiuswanitaampuh.blogspot.com,tokoobatbiuswanitaampuh.blogspot.com
http://anneuishop.com,anneuishop.com
http://www.anneuishop.com,www.anneuishop.com
http://anneuishop.com/m/,www.m.anneuishop.com
http://www.bodyslimherbalonline.cc,www.bodyslimherbalonline.cc
http://www.bsh-online.com,www.bsh-online.com
http://www.kaskus.co.id/profile/viewallclassified/2034285,bit.ly/wellyerskaskusfjb
http://muhafiku.com,www.muhafiku.com
http://tokousb.com,tokousb.com
http://iftina.com,iftina.com
http://www.indo-ware.com,www.indo-ware.com
http://agan.no,agan.no
http://lavorus.com,lavorus.com
https://facebook.com/yuki.relic,facebook.com/yuki.relic
http://www.facebook.com/coccicosmevampy?_rdr,fb.com/coccicosmevampy
http://www.facebook.com/coccivosmevampy?_rdr,fb.com/coccivosmevampy
http://columbiasolusi.com,columbiasolusi.com
http://1.car,1.car
http://www.infopedia.pe.hu,www.infopedia.pe.hu
http://candrasa.com,candrasa.com
http://www.item.no/,item.no
http://an.ai,an.ai
http://ecs7.tokopedia.net,ecs7.tokopedia.net
http://aquaria-bungur.com,aquaria-bungur.com
http://scontent-sin1-1.xx.fbcdn.net,scontent-sin1-1.xx.fbcdn.net
http://dutabatik.com,dutabatik.com
http://diskon.online,diskon.online
http://cekresi.com,cekresi.com
https://www.mataharimall.com/,mataharimall.com
http://klikidol.com,klikidol.com
http://stilettobook.com,stilettobook.com
http://pestadiskon.com,pestadiskon.com
http://forum.pestadiskon.com,forum.pestadiskon.com
http://www.nature24.co.id,www.nature24.co.id
http://kidipal.com,kidipal.com
http://postimg.org,postimg.org
https://mail.yahoo.com/,ymail.com
http://apache.com,apache.com
http://gamil.com,gamil.com
http://iiec-edu.com,iiec-edu.com
http://blackberry.com,blackberry.com
http://yahok.com,yahok.com
http://ngi.me,ngi.me
http://anekafashion.com,anekafashion.com
http://sukabumi.com,sukabumi.com
http://dayrep.com,dayrep.com
http://www.yahoo.com/,yahol.com
http://tri.blackberry.com,tri.blackberry.com
http://bakoel-it.co.id,bakoel-it.co.id
http://snipsnap.co.id,snipsnap.co.id
http://au.yahoo.com/,yahoo.com.au
http://mail.yahoo.com/,rocketmail.com
http://www.moviemegaplex21.blogspot.co.id,www.moviemegaplex21.blogspot.co.id
http://www.bumbutabur.net/,bumbutabur.net
http://bungkuz.com,bungkuz.com
http://v3technology.co.id,v3technology.co.id
http://fixprint.net,fixprint.net
http://omahshoppic.com,omahshoppic.com
http://www.haoqq.com/,333.com
http://wishcomputer.net,wishcomputer.net
http://kogara.com,kogara.com
http://icuans.com,icuans.com
http://smartfren.blackberry.com,smartfren.blackberry.com
http://birotoko.com,birotoko.com
http://yahoo.com/,yaoo.com
http://yamil.com,yamil.com
http://icould.com,icould.com
http://lontoh.com,lontoh.com
http://ayahoo.com,ayahoo.com
http://hk.yahoo.com/,yahoo.com.hk
http://abipro.co.id,abipro.co.id
http://cuvox.de,cuvox.de
http://gnail.com,gnail.com
http://aksesoriskameraonline.com,aksesoriskameraonline.com
http://www.poltekba.ac.id/website,poltekba.ac.id
https://www.icloud.com/,me.com
http://hayoo.com,hayoo.com
http://putraperkasa.co.id,putraperkasa.co.id
http://bdg.centrin.net.id,bdg.centrin.net.id
http://jindo.co.id,jindo.co.id
http://advanina.com,advanina.com
