destination,original
mail.google.com,gmail.com
www.jne.co.id,www.jne.co.id
www.droneindonesia.com,www.droneindonesia.com/shop
drive.google.com,drive.google.com
www.serbamurahonline.com,serbamurahonline.com
www.yahoo.com,yahoo.com
lexoir.com,lexoir.com
ecs7.tokopedia.net,ecs7.tokopedia.net
postimage.org,s32.postimg.org
www.facebook.com,www.facebook.com
shopee.co.id,shopee.co.id/beetlegarage
agrabutik.com,agrabutik.com
kiosindo.com,www.kiosindo.com
goo.gl,goo.gl
07.no,gan.no
youtu.be,youtu.be
rimastech.com,rimastech.com
loop.co.id,loop.co.id
www.ptncs.co.id,www.ptncs.co.id
www.mataharimall.com,mataharimall.com
www.wahana.com,www.wahana.com
tinypic.com,oi66.tinypic.com
www.youtube.com,www.youtube.com
www.blibli.com,blibli.com
bandungjersey.com,www.bandungjersey.com/topi-2/
www.jaksa.si,jaksa.si
www.iezvu.com,iezvu.com
mutiara-prakarsa.com,mutiara-prakarsa.com
www.bukalapak.com,www.bukalapak.com
www.pusatjamtanganmurah.com,www.pusatjamtanganmurah.com/cekresi
www.instagram.com,www.instagram.com
tiki-online.com,tiki-online.com
www.mamahziezie.id,mamahziezie.id
chaxun.mi.com,chaxun.xiaomi.com
salmanmn8.blogspot.com,salmanmn8.blogspot.com
www.xbitlabs.com,www.xbitlabs.com
www.cekresi.com,www.cekresi.com
m.bukalapak.com,m.bukalapak.com
ibin.co,ibin.co
theme-id.com,theme-id.com/theme/wp-agen-theme
enter.id,enter.id
www.google.com,www.google.com
www.kaskus.co.id,bit.ly/wellyerskaskusfjb
exspedisincs.weebly.com,exspedisincs.weebly.com
mail.live.com,hotmail.com
www.tp-link.co.id,tp-link.co.id
www1.miwifi.com,www1.miwifi.com/app_download.html
tepungsagu.com,tepungsagu.com
www.vaporfi.com,www.vaporfi.com
www.martinmelchior.be,www.martinmelchior.be
areahp.com,areahp.com
www.posindonesia.co.id,www.posindonesia.co.id
cpro.baidu.com,aja.pink
gadoga.com,gadoga.com
www.aliexpress.com,www.aliexpress.com
jet.co.id,jet.co.id
k.mba,k.mba
b.is,b.is
line.me,line.me
phonemarket.co.id,phonemarket.co.id
www.klik4jovem.com,www.klik4jovem.com
www.dusdusan.com,dusdusan.com
pestadiskon.com,pestadiskon.com
forum.pestadiskon.com,forum.pestadiskon.com
www.sendspace.com,www.sendspace.com
www.dakotacargo.co.id,www.dakotacargo.co.id
mba.mba,mba.mba
mail.ru,mail.ru
in.yahoo.com,yahoo.co.in
mail.yahoo.com,ymail.com
id.yahoo.com,yahoo.co.id
live.com,live.com
tri.blackberry.com,tri.blackberry.com
tokomainan.co.id,tokomainan.co.id
www.outlook.com,outlook.com
au.yahoo.com,yahoo.com.au
bungkuz.com,bungkuz.com
jupistore.com,jupistore.com
www.68ecommerce.com,68ecommerce.com
fixprint.net,fixprint.net
uk.yahoo.com,yahoo.co.uk
wishcomputer.net,wishcomputer.net
kogara.com,kogara.com
creamhn.web.id,creamhn.web.id
abipro.co.id,abipro.co.id
www.ferrox.se,ferrox.com
www.icloud.com,icloud.com
gamil.com,gamil.com
cuvox.de,cuvox.de
soisz.com,soisz.com
www.saqina.com,saqina.com
kadae.com,kadae.com
www.cih168.com,cih168.com
malindoimaging.com,malindoimaging.com
sg.yahoo.com,yahoo.com.sg
hptocall.com,hptocall.com
www.klikteknik.com,klikteknik.com
moremall.tv,moremall.tv
oharaindonesia.com,oharaindonesia.com
innofoto.com,innofoto.co.id
langsungbelanja.co.id,langsungbelanja.co.id
promoimportir.com,promoimportir.com
toko-smileykids.com,toko-smileykids.com
tokosuplemenonlineku.com,tokosuplemenonlineku.com
dayrep.com,dayrep.com
yuroffer.com,yuroffer.com
oilgas-parts.com,oilgas-parts.com
www.twlcosmetics.com,www.twlcosmetics.com
vintaco.com,vintaco.com
w.bupak.com,w.bupak.com
cekresi.com,cekresi.com
fjb.m.kaskus.co.id,fjb.m.kaskus.co.id
hidari-shop.com,hidari-shop.com
i00.i.aliimg.com,i00.i.aliimg.com
img.danawa.com,img.danawa.com
modifmotor1.com,modifmotor1.com
outlive-shop.com,outlive-shop.com
pastebin.com,pastebin.com
postimg.org,postimg.org
www.buak.com,www.buak.com
www.dropbox.com,www.dropbox.com
www.epson.co.uk,www.epson.co.uk
www.google.co.id,www.google.co.id
