destination,original,global_rank,domestic_rank,reach_rank
https://m.bukalapak.com/,m.bukalapak.com,387,14,659
https://www.dropbox.com/,www.dropbox.com,90,52,80
http://www.google.com,www.google.com,1,1,1
https://www.pengirim.com/,www.pengirim.com,302308,6390,246797
http://veherba.com,veherba.com,2193764,39328,1817204
http://www.dlink.co.in,www.dlink.co.in,78167,7661,76795
http://www.miuitutorial.com,www.miuitutorial.com,690556,9900,643112
http://www.posindonesia.co.id,www.posindonesia.co.id,20594,376,18596
http://www.tp-link.co.id,www.tp-link.co.id,145061,2684,154198
http://www.wisecombatam.com,www.wisecombatam.com,-,-,-
http://www.tokowanita.web.id/,tokowanita.web.id,-,-,-
http://www.tokowanita.web.id,www.tokowanita.web.id,-,-,-
http://www.lucu-unik-murah.com,www.lucu-unik-murah.com,188613,4213,242860
https://tracking.acommerce.asia/,tracking.acommerce.asia/,152679,6845,153052
http://www.norival.net/,norival.net,5988381,-,5339560
http://dasanpacific.co.id,dasanpacific.co.id,-,-,-
http://postimage.org/,s31.postimg.org,8926,3331,7082
http://www.siantarmaju.com/,siantarmaju.com,16645409,-,15299682
http://www.microcontrols.org,www.microcontrols.org,872682,-,676782
http://www.agarereksikeras.com,www.agarereksikeras.com,5957325,-,6081719
http://star-royal.com,star-royal.com,16884664,-,17771933
http://www.star-royal.com,www.star-royal.com,16884664,-,17771933
http://halogadget.com,halogadget.com,2783725,-,2646763
http://www.kaspersky.com,www.kaspersky.com,1878,2847,1790
http://butuh.com,butuh.com,-,-,-
https://www.dealmedan.com/,www.dealmedan.com,377010,6529,402551
http://materialbahanbangunan.com,materialbahanbangunan.com,9414962,-,8205228
http://www.pandufarma.com,www.pandufarma.com,19449126,-,18125415
http://www.pandu-farma.com,www.pandu-farma.com,-,-,-
http://baca.ga,baca.ga,-,-,-
http://4.gl,4.gl,-,-,-
http://www.bajubaru.net,www.bajubaru.net,847454,25477,989343
https://oscarliving.co.id/,oscarliving.com,831835,33675,1033085
http://shopee.co.id/ss.b1ke,shopee.co.id/ss.b1ke,41076,540,52439
http://www.oscarliving.co.id,www.oscarliving.co.id,831835,33675,1033085
http://www.elfs-shop.com,www.elfs-shop.com,2873367,-,3947135
https://m.youtube.com/,m.youtube.com,2,3,3
http://mysugarcoffee.blogspot.co.id/2013/07/review-3ce-full-cover-concealer.html,mysugarcoffee.blogspot.co.id/2013/07/review-3ce-full-cover-concealer.html,5951970,-,5296088
http://souvenir-pernikahan.id,souvenir-pernikahan.id,-,-,-
http://antonishop.com,antonishop.com,-,-,-
http://esl-express.com,esl-express.com,411562,11867,404940
http://www.lazada.co.id/,lazada.co.id,859,23,1002
http://www.luminous.co.id,www.luminous.co.id,3434191,69054,3356469
http://digilifeweb.com,digilifeweb.com,3128818,-,4084011
http://www.rodadua.net/,rodadua.net,4525332,78804,3803285
http://missshopk.blogspot.co.id,missshopk.blogspot.co.id,-,-,-
http://www.lapaksoftware.net,www.lapaksoftware.net,10993193,-,9615157
http://www.capdaseworld.com/,capdaseworld.com,5037727,-,4671757
http://lama.ga,lama.ga,-,-,-
http://gmial.com,gmial.com,90535,19930,64325
http://www.sk-ii.co.id/,sk-ii.co.id,808951,18695,781593
http://dibelisaja.com,dibelisaja.com,-,-,-
http://www.imei.info,www.imei.info,18441,-,17726
http://www.arraafigrosir.com,www.arraafigrosir.com,621864,28019,690684
http://giselshop.com,giselshop.com,13881513,-,14704393
http://www.tsiyaby.com,www.tsiyaby.com,6469754,-,7685209
http://www.rdd-tech.com,www.rdd-tech.com,3623598,-,3795895
http://miui.com,miui.com,1512,219,1726
https://www.mishibox.com/,www.mishibox.com,418631,120362,468829
http://10ribu.com,10ribu.com,9450921,-,10038822
http://pricelist.co.id,pricelist.co.id,412615,11008,397111
http://www.audiomobilindonesia.com/,audiomobilindonesia.com,-,-,-
https://plus.google.com/,plus.google.com,1,1,1
https://encrypted-tbn1.gstatic.com/sorry,encrypted-tbn1.gstatic.com,1317,544,957
http://belanjamimo.com,belanjamimo.com,282019,8125,368687
https://facebook.com/adhielesmana,facebook.com/adhielesmana,3,2,2
http://rp.su,rp.su,-,-,-
http://deras.ga,deras.ga,-,-,-
http://boventoys.com,boventoys.com,4874424,-,5509893
http://boventoys.com/,www.boventoys.com,4874424,-,5509893
http://sundamotor.com,sundamotor.com,754122,44963,873726
https://www.networldsports.com.au/,www.networldsports.com.au,3109946,64662,3015214
http://baliwisdom.com/ssn/,www.baliwisdom.com/ssn,-,-,-
http://jasmineori.com,jasmineori.com,-,-,-
http://www.waveshare.com,www.waveshare.com,152745,-,161625
http://www.vigica.cc,www.vigica.cc,1851794,-,2001357
http://www.kangen-water.id,www.kangen-water.id,2643653,-,2668723
https://www.clea.asia/,www.clea.asia,6704670,-,6961360
http://belalangkupukupu.com,belalangkupukupu.com,13111257,-,15024120
http://www.jogjabolic.com,www.jogjabolic.com,223421,4363,243935
http://www.klikteknik.com,www.klikteknik.com,-,-,-
http://loda.co.id,loda.co.id,1005322,-,1036590
http://www.tokorohanionline.com,www.tokorohanionline.com,-,-,-
https://s3.bukalapak.com/,s3.bukalapak.com,387,14,659
http://docs.google.com,docs.google.com,1,1,1
http://www.kaosyes.com,www.kaosyes.com,1861364,31798,1832807
http://jakartahelm.com,jakartahelm.com,2906413,53863,3552738
https://central.bitdefender.com/,central.bitdefender.com,5943,5451,5711
http://download.bitdefender.com,download.bitdefender.com,5943,5451,5711
http://utekno.com,utekno.com,56235,937,45349
http://gopego.com,gopego.com,112819,1827,102283
http://posindonesia.com,posindonesia.com,1711060,54706,1378682
http://wahana.com,wahana.com,40625,685,57729
http://www.saqina.com,www.saqina.com,334967,7013,335005
http://www.grosirhijabbagus.com,www.grosirhijabbagus.com,3979694,-,4353237
https://www.mediafire.com/,www.mediafire.com,176,-,147
